TF	target	importance
WT1pKTS	FOXL2	0.3344454948742449
DMRT1	DKK1	0.3155356460519035
DKK1	DMRT1	0.31145097970942304
FOXL2	WT1pKTS	0.28676908617172375
UGR	CBX2	0.2700520994987887
CTNNB1	RSPO1	0.26585008092482076
CBX2	UGR	0.25128296884024964
RSPO1	WNT4	0.24495940988690063
FGF9	DHH	0.23840395452860447
PGD2	FGF9	0.2360927235802993
RSPO1	CTNNB1	0.2358272419682068
FGF9	PGD2	0.2339676260760898
DKK1	SRY	0.23380035222428572
PGD2	DHH	0.23295685990731732
DHH	PGD2	0.23230525840442642
DHH	AMH	0.23116690604104798
PGD2	AMH	0.22851976892752512
DHH	FGF9	0.2213758328640972
DMRT1	SRY	0.2196662966046704
RSPO1	NR5A1	0.20806562387961997
SRY	DKK1	0.204134076126322
AMH	DHH	0.20001799671998483
AMH	PGD2	0.19609490983072592
AMH	FGF9	0.1958073861460139
FOXL2	CTNNB1	0.19317250503122235
SRY	DMRT1	0.18940252293632615
WT1mKTS	GATA4	0.18436718399495344
PGD2	SOX9	0.18283717347566775
FGF9	AMH	0.18216482349330604
WNT4	RSPO1	0.18199621928175644
GATA4	WT1mKTS	0.18141446049402477
CTNNB1	FOXL2	0.17900871049163594
WNT4	NR0B1	0.1712112030465734
FGF9	SOX9	0.16851054097408558
DHH	SOX9	0.16435451586275365
CTNNB1	WNT4	0.16423017198022108
RSPO1	NR0B1	0.15549254461336376
NR0B1	WNT4	0.1535174868911271
SRY	UGR	0.14110101370112865
SOX9	DMRT1	0.14069611605201982
NR5A1	FOXL2	0.13754451666100245
NR5A1	RSPO1	0.13697409883815623
SOX9	DKK1	0.1328651007044025
NR5A1	WT1pKTS	0.1321256344423457
FOXL2	RSPO1	0.1310993735957869
CTNNB1	WT1pKTS	0.12734924695597605
FOXL2	NR5A1	0.1231898661404804
SRY	WT1pKTS	0.12235645325582187
AMH	SOX9	0.1162824925696224
CTNNB1	NR5A1	0.11493965981921025
RSPO1	FOXL2	0.1123760183501685
SOX9	DHH	0.10899999566459252
SOX9	PGD2	0.10853880714160485
WNT4	CTNNB1	0.10795858276297075
SOX9	SRY	0.10752253326217048
SOX9	AMH	0.10521275891605293
SOX9	FGF9	0.10060225800045224
WT1pKTS	NR5A1	0.09920273428154223
WT1pKTS	CTNNB1	0.09749575700126525
WT1pKTS	WT1mKTS	0.0970639432565146
NR0B1	UGR	0.09574035980852305
NR5A1	CTNNB1	0.09563542389193008
UGR	GATA4	0.09501404443070474
UGR	WT1mKTS	0.09296799398344692
CTNNB1	NR0B1	0.09232056296868528
DKK1	CBX2	0.08869893335126458
DKK1	SOX9	0.08630210201946366
NR5A1	CBX2	0.08613050210873137
WT1pKTS	SRY	0.08393335999168645
DMRT1	CBX2	0.08229202494666951
WT1pKTS	GATA4	0.08196550162573184
DMRT1	SOX9	0.0771495334446173
RSPO1	CBX2	0.07514678236531477
NR5A1	GATA4	0.07513816775571118
UGR	NR0B1	0.07491617798360183
AMH	NR0B1	0.07474646945603038
WNT4	UGR	0.0746128903356226
NR5A1	WT1mKTS	0.07255831775334616
NR0B1	GATA4	0.07227053692351842
CBX2	WT1mKTS	0.07120987923726656
RSPO1	WT1pKTS	0.06679072889825903
NR0B1	WT1mKTS	0.0640201925592929
FGF9	DKK1	0.06390943483089985
NR0B1	AMH	0.06383854120856923
FOXL2	WNT4	0.0636925301180314
DKK1	FGF9	0.06250455689501024
SRY	CTNNB1	0.06208887500661564
DHH	DMRT1	0.061281745539389205
SOX9	WNT4	0.060993193765234856
DHH	DKK1	0.06032620964188217
CBX2	GATA4	0.05950068383464494
NR5A1	NR0B1	0.05929247872456177
PGD2	DMRT1	0.05916222782576095
NR0B1	RSPO1	0.0591087569182984
SOX9	NR5A1	0.058702171290442896
SRY	FOXL2	0.05676623071412995
CTNNB1	CBX2	0.05646636299995075
NR0B1	NR5A1	0.05588459737932351
DKK1	AMH	0.055623186666490736
PGD2	DKK1	0.055240817312314894
SRY	NR0B1	0.05492588077459954
RSPO1	UGR	0.05474062579992193
PGD2	NR0B1	0.05468914273179661
DMRT1	FGF9	0.05328301789324223
DKK1	UGR	0.05288742893732592
WNT4	GATA4	0.05143205769595335
DMRT1	PGD2	0.05085355356937085
DKK1	DHH	0.050529931976847964
SRY	GATA4	0.05031815436710823
NR5A1	WNT4	0.04961045430831745
DMRT1	UGR	0.04943032823976654
DKK1	PGD2	0.04937617848216434
NR0B1	PGD2	0.049169313474658284
FGF9	DMRT1	0.04881881749296915
WNT4	WT1mKTS	0.04798366956417841
NR0B1	CTNNB1	0.047414902828497245
SRY	NR5A1	0.04731756959736422
CBX2	NR5A1	0.04721508212121958
DHH	NR0B1	0.0466409685247169
SRY	SOX9	0.04649027944903554
WT1pKTS	RSPO1	0.046283156993076245
WNT4	FOXL2	0.04607784151777578
SOX9	CBX2	0.04520217115668231
SRY	WT1mKTS	0.04485793318606165
DMRT1	AMH	0.04458109068336845
WNT4	NR5A1	0.04457522601498981
DKK1	WT1pKTS	0.04411378449972114
DKK1	CTNNB1	0.0433185284886679
CTNNB1	UGR	0.04274265755633452
NR0B1	FGF9	0.04266913881931486
DKK1	WNT4	0.04256873332776111
WT1pKTS	CBX2	0.042561436656956164
CTNNB1	SRY	0.042126562537203295
WNT4	SOX9	0.04194286817670422
NR5A1	SOX9	0.04178405435149653
WT1mKTS	UGR	0.040955293882990414
FGF9	SRY	0.040938685830601
NR0B1	DHH	0.04086054490303056
DMRT1	WT1pKTS	0.04068577429187887
DMRT1	WT1mKTS	0.04010510997642449
FGF9	NR0B1	0.04003277277630141
SRY	CBX2	0.03974653622286543
DHH	SRY	0.03953061330075166
DMRT1	DHH	0.03878141813396453
CTNNB1	GATA4	0.038510419983300605
UGR	WNT4	0.03831500905650957
RSPO1	GATA4	0.037957705382437125
DMRT1	CTNNB1	0.037799741261370846
AMH	DMRT1	0.03748942072748148
RSPO1	WT1mKTS	0.037430518301731455
PGD2	SRY	0.03739037260409209
DMRT1	WNT4	0.037178245399112644
GATA4	UGR	0.03695215211205871
DKK1	WT1mKTS	0.03609347120781493
CTNNB1	WT1mKTS	0.03603374812364242
DMRT1	GATA4	0.03565260876858489
WT1mKTS	WT1pKTS	0.035608417453440275
SOX9	UGR	0.03540723611250422
DKK1	GATA4	0.03464436012933828
WT1mKTS	CBX2	0.03424284929688131
CBX2	NR0B1	0.03312738904310938
SOX9	GATA4	0.03296677254503418
FOXL2	WT1mKTS	0.03248122951242284
SOX9	WT1mKTS	0.032304503020836366
DKK1	NR5A1	0.03141314408386136
DHH	GATA4	0.03104814610774415
PGD2	GATA4	0.030819922076620404
FOXL2	GATA4	0.03010254161399142
DHH	WT1mKTS	0.030062671953001573
UGR	SRY	0.029952421758893767
AMH	DKK1	0.02993247489569746
AMH	GATA4	0.02987743673074751
