Gene1	Gene2	EdgeWeight
WT1pKTS	FOXL2	0.3344454948742449
DMRT1	DKK1	0.3155356460519035
DKK1	DMRT1	0.311450979709423
FOXL2	WT1pKTS	0.2867690861717237
UGR	CBX2	0.2700520994987887
CTNNB1	RSPO1	0.2658500809248207
CBX2	UGR	0.2512829688402496
RSPO1	WNT4	0.2449594098869006
FGF9	DHH	0.2384039545286044
PGD2	FGF9	0.2360927235802993
RSPO1	CTNNB1	0.2358272419682068
FGF9	PGD2	0.2339676260760898
DKK1	SRY	0.2338003522242857
PGD2	DHH	0.2329568599073173
DHH	PGD2	0.2323052584044264
DHH	AMH	0.2311669060410479
PGD2	AMH	0.2285197689275251
DHH	FGF9	0.2213758328640972
DMRT1	SRY	0.2196662966046704
RSPO1	NR5A1	0.2080656238796199
SRY	DKK1	0.204134076126322
AMH	DHH	0.2000179967199848
AMH	PGD2	0.1960949098307259
AMH	FGF9	0.1958073861460139
FOXL2	CTNNB1	0.1931725050312223
SRY	DMRT1	0.1894025229363261
WT1mKTS	GATA4	0.1843671839949534
PGD2	SOX9	0.1828371734756677
FGF9	AMH	0.182164823493306
WNT4	RSPO1	0.1819962192817564
GATA4	WT1mKTS	0.1814144604940247
CTNNB1	FOXL2	0.1790087104916359
WNT4	NR0B1	0.1712112030465734
FGF9	SOX9	0.1685105409740855
DHH	SOX9	0.1643545158627536
CTNNB1	WNT4	0.164230171980221
RSPO1	NR0B1	0.1554925446133637
NR0B1	WNT4	0.1535174868911271
SRY	UGR	0.1411010137011286
SOX9	DMRT1	0.1406961160520198
NR5A1	FOXL2	0.1375445166610024
NR5A1	RSPO1	0.1369740988381562
SOX9	DKK1	0.1328651007044025
NR5A1	WT1pKTS	0.1321256344423457
FOXL2	RSPO1	0.1310993735957869
CTNNB1	WT1pKTS	0.127349246955976
FOXL2	NR5A1	0.1231898661404804
SRY	WT1pKTS	0.1223564532558218
AMH	SOX9	0.1162824925696224
CTNNB1	NR5A1	0.1149396598192102
RSPO1	FOXL2	0.1123760183501685
SOX9	DHH	0.1089999956645925
SOX9	PGD2	0.1085388071416048
WNT4	CTNNB1	0.1079585827629707
SOX9	SRY	0.1075225332621704
SOX9	AMH	0.1052127589160529
SOX9	FGF9	0.1006022580004522
WT1pKTS	NR5A1	0.0992027342815422
WT1pKTS	CTNNB1	0.0974957570012652
WT1pKTS	WT1mKTS	0.0970639432565146
NR0B1	UGR	0.095740359808523
NR5A1	CTNNB1	0.09563542389193
UGR	GATA4	0.0950140444307047
UGR	WT1mKTS	0.0929679939834469
CTNNB1	NR0B1	0.0923205629686852
DKK1	CBX2	0.0886989333512645
DKK1	SOX9	0.0863021020194636
NR5A1	CBX2	0.0861305021087313
WT1pKTS	SRY	0.0839333599916864
DMRT1	CBX2	0.0822920249466695
WT1pKTS	GATA4	0.0819655016257318
DMRT1	SOX9	0.0771495334446173
RSPO1	CBX2	0.0751467823653147
NR5A1	GATA4	0.0751381677557111
UGR	NR0B1	0.0749161779836018
AMH	NR0B1	0.0747464694560303
WNT4	UGR	0.0746128903356226
NR5A1	WT1mKTS	0.0725583177533461
NR0B1	GATA4	0.0722705369235184
CBX2	WT1mKTS	0.0712098792372665
RSPO1	WT1pKTS	0.066790728898259
NR0B1	WT1mKTS	0.0640201925592929
FGF9	DKK1	0.0639094348308998
NR0B1	AMH	0.0638385412085692
FOXL2	WNT4	0.0636925301180314
DKK1	FGF9	0.0625045568950102
SRY	CTNNB1	0.0620888750066156
DHH	DMRT1	0.0612817455393892
SOX9	WNT4	0.0609931937652348
DHH	DKK1	0.0603262096418821
CBX2	GATA4	0.0595006838346449
NR5A1	NR0B1	0.0592924787245617
PGD2	DMRT1	0.0591622278257609
NR0B1	RSPO1	0.0591087569182984
SOX9	NR5A1	0.0587021712904428
SRY	FOXL2	0.0567662307141299
CTNNB1	CBX2	0.0564663629999507
NR0B1	NR5A1	0.0558845973793235
DKK1	AMH	0.0556231866664907
PGD2	DKK1	0.0552408173123148
SRY	NR0B1	0.0549258807745995
RSPO1	UGR	0.0547406257999219
PGD2	NR0B1	0.0546891427317966
DMRT1	FGF9	0.0532830178932422
DKK1	UGR	0.0528874289373259
WNT4	GATA4	0.0514320576959533
DMRT1	PGD2	0.0508535535693708
DKK1	DHH	0.0505299319768479
SRY	GATA4	0.0503181543671082
NR5A1	WNT4	0.0496104543083174
DMRT1	UGR	0.0494303282397665
DKK1	PGD2	0.0493761784821643
NR0B1	PGD2	0.0491693134746582
FGF9	DMRT1	0.0488188174929691
WNT4	WT1mKTS	0.0479836695641784
NR0B1	CTNNB1	0.0474149028284972
SRY	NR5A1	0.0473175695973642
CBX2	NR5A1	0.0472150821212195
DHH	NR0B1	0.0466409685247169
SRY	SOX9	0.0464902794490355
WT1pKTS	RSPO1	0.0462831569930762
WNT4	FOXL2	0.0460778415177757
SOX9	CBX2	0.0452021711566823
SRY	WT1mKTS	0.0448579331860616
DMRT1	AMH	0.0445810906833684
WNT4	NR5A1	0.0445752260149898
DKK1	WT1pKTS	0.0441137844997211
DKK1	CTNNB1	0.0433185284886679
CTNNB1	UGR	0.0427426575563345
NR0B1	FGF9	0.0426691388193148
DKK1	WNT4	0.0425687333277611
WT1pKTS	CBX2	0.0425614366569561
CTNNB1	SRY	0.0421265625372032
WNT4	SOX9	0.0419428681767042
NR5A1	SOX9	0.0417840543514965
WT1mKTS	UGR	0.0409552938829904
FGF9	SRY	0.040938685830601
NR0B1	DHH	0.0408605449030305
DMRT1	WT1pKTS	0.0406857742918788
DMRT1	WT1mKTS	0.0401051099764244
FGF9	NR0B1	0.0400327727763014
SRY	CBX2	0.0397465362228654
DHH	SRY	0.0395306133007516
DMRT1	DHH	0.0387814181339645
CTNNB1	GATA4	0.0385104199833006
UGR	WNT4	0.0383150090565095
RSPO1	GATA4	0.0379577053824371
DMRT1	CTNNB1	0.0377997412613708
AMH	DMRT1	0.0374894207274814
RSPO1	WT1mKTS	0.0374305183017314
PGD2	SRY	0.037390372604092
DMRT1	WNT4	0.0371782453991126
GATA4	UGR	0.0369521521120587
DKK1	WT1mKTS	0.0360934712078149
CTNNB1	WT1mKTS	0.0360337481236424
DMRT1	GATA4	0.0356526087685848
WT1mKTS	WT1pKTS	0.0356084174534402
SOX9	UGR	0.0354072361125042
DKK1	GATA4	0.0346443601293382
WT1mKTS	CBX2	0.0342428492968813
CBX2	NR0B1	0.0331273890431093
SOX9	GATA4	0.0329667725450341
FOXL2	WT1mKTS	0.0324812295124228
SOX9	WT1mKTS	0.0323045030208363
DKK1	NR5A1	0.0314131440838613
DHH	GATA4	0.0310481461077441
PGD2	GATA4	0.0308199220766204
FOXL2	GATA4	0.0301025416139914
DHH	WT1mKTS	0.0300626719530015
UGR	SRY	0.0299524217588937
AMH	DKK1	0.0299324748956974
AMH	GATA4	0.0298774367307475
