TF	target	importance
FOXL2	WT1pKTS	204.28919614385632
UGR	CBX2	195.71621423577304
DMRT1	DKK1	173.47026959301263
WT1pKTS	FOXL2	161.39136598294084
DKK1	DMRT1	150.75255920363867
NR5A1	FOXL2	126.94850429550415
SRY	DMRT1	124.45454635516857
DHH	FGF9	122.83724732820362
SRY	WT1pKTS	119.39776052230894
DKK1	SRY	117.94156492872058
RSPO1	NR5A1	115.21471645699793
NR5A1	RSPO1	114.02803985001452
SOX9	DMRT1	111.53899689458379
CTNNB1	RSPO1	111.09787178905978
FGF9	AMH	110.6797012093929
CBX2	UGR	110.48375549550137
SRY	DKK1	106.81236533546225
CTNNB1	WNT4	106.23765478676971
NR5A1	WT1pKTS	104.3507328623434
NR0B1	WNT4	104.1316423872941
AMH	DHH	101.64642644135617
DHH	PGD2	99.17566087282509
WT1mKTS	GATA4	97.97938973137921
PGD2	DHH	97.63163851812108
DMRT1	SRY	96.53525949405366
CTNNB1	WT1pKTS	95.96244483991326
FGF9	PGD2	94.41011481664152
FOXL2	CTNNB1	93.6314493853052
GATA4	WT1mKTS	90.82089185875866
FOXL2	NR5A1	89.92032867368998
AMH	PGD2	89.29176684290512
FGF9	DHH	88.94631284755026
SRY	FOXL2	87.20253488943392
NR0B1	UGR	86.90136780253118
RSPO1	CTNNB1	85.49367440706492
PGD2	FGF9	82.17733458213584
RSPO1	UGR	80.67733143400949
CTNNB1	FOXL2	79.36498353174454
PGD2	AMH	78.7374612025037
NR5A1	CBX2	76.86376044660078
WT1pKTS	NR5A1	76.44023750761944
RSPO1	WNT4	75.96343303671422
WNT4	NR0B1	74.45550690154151
RSPO1	FOXL2	73.58169069367418
DHH	AMH	70.99719520429569
SOX9	SRY	70.63628146088033
CBX2	NR5A1	69.74882341409912
DHH	SOX9	69.46539652970375
FOXL2	RSPO1	69.35951983718283
WNT4	RSPO1	69.09591008078625
NR0B1	CBX2	69.07168401138733
NR0B1	RSPO1	68.76882725394145
RSPO1	WT1pKTS	68.0141277708319
RSPO1	CBX2	67.948134353233
SRY	NR5A1	67.8181054751011
CTNNB1	CBX2	67.72753203967089
PGD2	DMRT1	66.59416509297017
FOXL2	SRY	66.51802716794505
DKK1	FGF9	64.89428149491228
NR5A1	CTNNB1	63.824389837304004
DKK1	WT1pKTS	62.345870144188616
WNT4	CTNNB1	61.63947297868088
CTNNB1	SRY	61.364151789087366
WNT4	UGR	61.315789234953094
AMH	NR0B1	61.179847031814134
DKK1	SOX9	60.48787058827822
AMH	FGF9	60.29831137232829
CTNNB1	NR5A1	59.71574628399219
WT1pKTS	CBX2	58.90785138149221
SOX9	PGD2	58.89245254723745
RSPO1	NR0B1	58.856572887981805
CTNNB1	DMRT1	58.78941076387884
DKK1	FOXL2	57.58631959125817
WNT4	DKK1	57.12604241893643
SOX9	NR5A1	56.37119752476447
AMH	DMRT1	56.317710360402074
NR5A1	WNT4	56.24252618656233
SOX9	AMH	56.225655849415645
FGF9	NR0B1	55.919511400077475
SRY	UGR	55.351022660198176
SOX9	DHH	55.29276074029489
NR0B1	NR5A1	55.19902821204191
WNT4	FOXL2	54.48835411501919
DHH	DKK1	53.81289379345021
NR0B1	WT1mKTS	53.222221113323045
DKK1	CBX2	52.69426932095747
SOX9	FGF9	52.301824138589225
FGF9	SOX9	51.71021575697733
DKK1	AMH	51.28399709474013
SOX9	DKK1	51.274076175491636
DMRT1	CBX2	50.9280270222192
AMH	NR5A1	50.82339014040559
WT1pKTS	RSPO1	50.03096850803149
SRY	CBX2	49.89236655443372
FGF9	DMRT1	49.750321270102575
NR0B1	FGF9	49.545142917635204
UGR	WT1mKTS	49.506782587655614
SRY	CTNNB1	49.5041705399708
DHH	DMRT1	49.23376879325492
PGD2	SOX9	48.43733827400346
UGR	NR0B1	48.325972725562096
PGD2	DKK1	48.00272756036311
DKK1	CTNNB1	47.757968070535966
SRY	AMH	46.70654315640349
NR0B1	AMH	46.36406893876644
DKK1	WNT4	46.30232286703503
WNT4	NR5A1	45.98499903577304
CBX2	FOXL2	45.893651236830706
PGD2	WNT4	45.30503206618527
DKK1	DHH	44.84992471525351
WT1pKTS	SRY	43.794580842138245
CTNNB1	NR0B1	43.72550585401675
AMH	SOX9	43.59626359039955
SRY	RSPO1	43.426898651427955
DMRT1	UGR	43.38939284063411
UGR	RSPO1	43.3789191675166
WNT4	DMRT1	43.250707863199246
WNT4	SOX9	42.75130836437784
NR0B1	PGD2	42.47829174122718
WT1pKTS	WT1mKTS	42.309526005117135
DMRT1	WNT4	42.044686015647876
SOX9	WNT4	41.687401957002734
NR0B1	GATA4	41.16436785295158
DHH	WNT4	41.004159109145526
DMRT1	DHH	40.81944939715111
CTNNB1	UGR	40.738792931987575
DMRT1	WT1pKTS	39.590598403656195
AMH	SRY	39.540915088877
PGD2	NR5A1	38.96317847908405
SRY	WNT4	38.87971496521146
NR0B1	FOXL2	38.36918227018636
WT1pKTS	DMRT1	38.24044106085052
FGF9	DKK1	38.09479692762751
UGR	CTNNB1	37.99117856538813
FGF9	SRY	37.840762769153685
SOX9	CBX2	37.40824255265796
NR0B1	CTNNB1	37.14218295882872
WNT4	GATA4	36.40032707228683
DMRT1	FGF9	35.8793602332909
UGR	SRY	35.54436524984003
WNT4	CBX2	35.52748339204619
UGR	WNT4	35.52592321531712
WNT4	WT1pKTS	35.40128778863426
CBX2	DMRT1	34.891463386024824
WNT4	PGD2	34.889269108784774
FGF9	WNT4	34.81879946108796
DKK1	NR5A1	34.81338989456543
DHH	NR0B1	34.805486366842175
RSPO1	WT1mKTS	34.27877107114283
NR5A1	DHH	34.19439675094503
NR5A1	SRY	33.83136354121563
FOXL2	DMRT1	33.50359941192278
GATA4	UGR	33.253200271159024
FOXL2	WNT4	33.15206639286096
UGR	GATA4	33.098744355718104
SOX9	RSPO1	33.03599325522552
CTNNB1	DKK1	32.97163335989913
RSPO1	SRY	32.72228582734799
FOXL2	CBX2	32.6282862328646
FGF9	NR5A1	32.09594100959474
PGD2	NR0B1	31.666641963670504
DHH	SRY	31.560166456533906
CBX2	NR0B1	31.134572354060943
DMRT1	AMH	31.010910138104045
NR0B1	DHH	31.001416141068866
WNT4	WT1mKTS	30.84854739601535
NR5A1	WT1mKTS	30.802448713215046
NR5A1	DMRT1	30.61362191264055
SRY	PGD2	30.333785025717567
RSPO1	FGF9	30.219793773359918
WNT4	SRY	29.601216633812932
CBX2	WNT4	29.43645726122165
SRY	SOX9	29.260505089190325
WT1mKTS	WNT4	29.259504262825498
DMRT1	PGD2	29.105167539211948
UGR	DMRT1	28.997601541080794
DHH	NR5A1	28.69675366760888
CBX2	RSPO1	28.688576583148645
CBX2	CTNNB1	28.68611721397949
WT1mKTS	UGR	28.61483865759342
NR5A1	FGF9	28.54452440900954
NR5A1	GATA4	28.059129004747366
NR5A1	PGD2	28.056153299124603
NR5A1	SOX9	27.867589852494127
WT1pKTS	CTNNB1	27.765377095461893
PGD2	SRY	27.709351265578448
FOXL2	UGR	27.568225659654335
WNT4	AMH	27.52992755945773
DMRT1	SOX9	27.454884010799027
WNT4	FGF9	27.40552584651248
CBX2	WT1pKTS	27.29708441076736
NR5A1	AMH	27.284287943461962
WT1mKTS	CBX2	27.142907271445292
DMRT1	CTNNB1	26.637579434650604
CBX2	GATA4	26.589667003050593
CTNNB1	WT1mKTS	26.543824577857396
SOX9	WT1pKTS	26.358071475758898
SOX9	UGR	26.329919226039856
NR5A1	UGR	26.16722161433957
SOX9	NR0B1	25.977592183371353
RSPO1	DKK1	25.770354917141088
WT1mKTS	NR0B1	25.622962005297165
WT1pKTS	WNT4	25.58630206394681
WNT4	DHH	25.524414451242816
DKK1	UGR	25.337147569648547
PGD2	CBX2	25.32017796877658
NR0B1	DMRT1	25.211154743545666
GATA4	NR0B1	24.858352149787645
SRY	FGF9	24.72621470040837
DMRT1	NR5A1	24.55087703356712
RSPO1	DMRT1	24.1539238099857
AMH	CBX2	24.101387670177044
UGR	NR5A1	23.506232625047176
DKK1	RSPO1	23.38871295818615
SRY	DHH	23.224892835484848
RSPO1	GATA4	23.214078268115966
WT1pKTS	NR0B1	23.069961881057413
NR5A1	NR0B1	22.988435129518074
CBX2	DKK1	22.91626589715406
WT1pKTS	DKK1	22.76939147807502
CBX2	WT1mKTS	22.57318288935871
AMH	WNT4	22.035773575957016
GATA4	WT1pKTS	21.903469286025285
CTNNB1	FGF9	21.470599439920054
DHH	CBX2	21.36194195651651
RSPO1	DHH	21.35525927879505
UGR	DKK1	21.23236257889317
SRY	WT1mKTS	21.129475452206005
WT1pKTS	GATA4	21.028584829305107
CTNNB1	GATA4	20.84220908143715
NR0B1	SRY	20.778240457175354
DKK1	PGD2	20.626010281841367
GATA4	CBX2	20.014685132572268
UGR	FOXL2	19.72288530464154
DKK1	NR0B1	19.441371345294716
SOX9	CTNNB1	19.306485262794084
CBX2	FGF9	19.16865142787552
CTNNB1	SOX9	19.070260134737463
RSPO1	PGD2	19.00602314763698
FGF9	RSPO1	18.98499089828996
PGD2	WT1pKTS	18.923075401996595
DMRT1	FOXL2	18.906217084110843
CBX2	SRY	18.897355327310336
FGF9	CBX2	18.745048457175898
DMRT1	RSPO1	18.599754867960662
DKK1	GATA4	18.593736629387568
CBX2	AMH	18.2730336202298
FGF9	CTNNB1	18.131783570677822
AMH	DKK1	17.950774724920123
CBX2	SOX9	17.945719064269024
UGR	FGF9	17.637510191645134
FOXL2	WT1mKTS	17.576861317263976
WT1pKTS	UGR	17.40468020247065
GATA4	WNT4	17.386600389214735
WT1mKTS	WT1pKTS	16.880166733528785
RSPO1	AMH	16.480704146548184
DKK1	WT1mKTS	16.43280850054589
SRY	GATA4	16.421310221527158
NR0B1	WT1pKTS	16.317403815632428
DMRT1	NR0B1	16.15006409058852
DMRT1	GATA4	15.839992422559485
AMH	WT1pKTS	15.83027948824062
DHH	UGR	15.767178887774513
FOXL2	DHH	15.672546194072739
SOX9	GATA4	15.44901730849952
FOXL2	NR0B1	15.203187619322238
CBX2	PGD2	15.04471310005205
FGF9	FOXL2	15.007876451950745
GATA4	RSPO1	14.912889393120679
AMH	CTNNB1	14.85595501623629
WT1mKTS	NR5A1	14.84344971501296
NR0B1	SOX9	14.7727746653247
WT1pKTS	FGF9	14.741807185972517
DHH	FOXL2	14.723330647865899
UGR	SOX9	14.602129879773559
FOXL2	DKK1	14.543471405443764
CTNNB1	DHH	14.389518116439973
AMH	FOXL2	13.965332710095122
AMH	UGR	13.911935432953436
NR0B1	DKK1	13.77495817171586
DMRT1	WT1mKTS	13.767766637688267
AMH	RSPO1	13.627714499058673
SRY	NR0B1	13.618456110195464
SOX9	FOXL2	13.468515978762259
GATA4	SRY	13.349772944109615
DHH	WT1pKTS	13.221408713315702
DHH	RSPO1	13.023973946033633
PGD2	WT1mKTS	13.02246620554599
RSPO1	SOX9	12.922677197809307
GATA4	FOXL2	12.847567757280892
UGR	DHH	12.500100016865508
FOXL2	GATA4	12.421019171956905
SOX9	WT1mKTS	12.371879643272257
FGF9	WT1pKTS	12.138958416322614
NR5A1	DKK1	12.057756485405509
UGR	WT1pKTS	11.778063782678903
WT1mKTS	FOXL2	11.67098674340726
WT1pKTS	SOX9	11.378493281738601
GATA4	NR5A1	11.293604851035008
AMH	WT1mKTS	11.045677901911786
CTNNB1	PGD2	11.03142651162457
FGF9	UGR	10.872228805913421
DHH	GATA4	10.309650154795502
WT1pKTS	PGD2	10.291420890516095
PGD2	UGR	9.915971272638275
PGD2	FOXL2	9.860700715293394
WT1mKTS	SRY	9.834338756219731
PGD2	GATA4	9.71600593839293
FGF9	WT1mKTS	9.655989687969326
CTNNB1	AMH	9.42644513422056
WT1pKTS	DHH	9.40568529627829
WT1mKTS	RSPO1	9.224689201261016
FOXL2	AMH	9.01474820894015
WT1mKTS	CTNNB1	8.531459272115683
FOXL2	PGD2	8.461818837142856
PGD2	RSPO1	8.325749259754051
FOXL2	SOX9	8.22213941943104
DHH	WT1mKTS	8.09087844115275
WT1mKTS	DMRT1	7.522692280747168
DHH	CTNNB1	7.4374496897790126
UGR	AMH	7.427147504092036
GATA4	DMRT1	7.183315256003197
CBX2	DHH	6.953478447429105
WT1pKTS	AMH	6.894915844944507
FGF9	GATA4	6.475746582378593
AMH	GATA4	6.397024371510457
GATA4	FGF9	6.094907902832982
FOXL2	FGF9	6.0184649478495045
PGD2	CTNNB1	5.154214827518575
WT1mKTS	AMH	5.139068770133098
GATA4	DKK1	5.045917498751231
