Gene1	Gene2	corVal
DMRT1	DMRT1	1
FGF9	FGF9	1
RSPO1	RSPO1	1
DHH	DHH	1
CTNNB1	CTNNB1	1
PGD2	PGD2	1
WT1mKTS	WT1mKTS	1
SRY	SRY	1
DKK1	DKK1	1
WNT4	WNT4	1
CBX2	CBX2	1
AMH	AMH	1
NR0B1	NR0B1	1
NR5A1	NR5A1	1
WT1pKTS	WT1pKTS	1
FOXL2	FOXL2	1
UGR	UGR	1
SOX9	SOX9	1
GATA4	GATA4	1
CTNNB1	RSPO1	0.888451211280282
RSPO1	CTNNB1	0.888451211280282
WNT4	CTNNB1	0.83513537838446
CTNNB1	WNT4	0.83513537838446
WNT4	RSPO1	0.801513537838446
RSPO1	WNT4	0.801513537838446
WT1pKTS	NR5A1	0.787969699242481
NR5A1	WT1pKTS	0.787969699242481
DKK1	DMRT1	0.77726393159829
DMRT1	DKK1	0.77726393159829
DKK1	SRY	0.774187354683867
SRY	DKK1	0.774187354683867
FOXL2	CTNNB1	0.773653341333533
CTNNB1	FOXL2	0.773653341333533
NR0B1	WNT4	0.769802745068627
WNT4	NR0B1	0.769802745068627
NR0B1	RSPO1	0.76931223280582
RSPO1	NR0B1	0.76931223280582
WT1pKTS	SRY	0.768209705242631
SRY	WT1pKTS	0.768209705242631
FOXL2	RSPO1	0.764498612465312
RSPO1	FOXL2	0.764498612465312
SRY	DMRT1	0.758550963774094
DMRT1	SRY	0.758550963774094
SOX9	DKK1	0.744314107852696
DKK1	SOX9	0.744314107852696
SOX9	DMRT1	0.712387309682742
DMRT1	SOX9	0.712387309682742
NR0B1	CTNNB1	0.708907222680567
CTNNB1	NR0B1	0.708907222680567
SOX9	SRY	0.691035775894397
SRY	SOX9	0.691035775894397
NR5A1	SRY	0.635999399985
SRY	NR5A1	0.635999399985
FOXL2	WNT4	0.601738543463587
WNT4	FOXL2	0.601738543463587
WT1pKTS	DKK1	0.593780844521113
DKK1	WT1pKTS	0.593780844521113
GATA4	WT1mKTS	0.583607590189755
WT1mKTS	GATA4	0.583607590189755
SOX9	WT1pKTS	0.583193579839496
WT1pKTS	SOX9	0.583193579839496
WT1pKTS	DMRT1	0.572477311932798
DMRT1	WT1pKTS	0.572477311932798
SOX9	PGD2	0.561582539563489
PGD2	SOX9	0.561582539563489
DKK1	PGD2	0.559881497037426
PGD2	DKK1	0.559881497037426
SOX9	DHH	0.551907297682442
DHH	SOX9	0.551907297682442
SOX9	NR5A1	0.54216005400135
NR5A1	SOX9	0.54216005400135
SOX9	AMH	0.539173479336983
AMH	SOX9	0.539173479336983
DHH	FGF9	0.536236405910148
FGF9	DHH	0.536236405910148
PGD2	FGF9	0.53342383559589
FGF9	PGD2	0.53342383559589
AMH	DKK1	0.52361659041476
DKK1	AMH	0.52361659041476
PGD2	DMRT1	0.507024675616891
DMRT1	PGD2	0.507024675616891
AMH	DMRT1	0.505244131103278
DMRT1	AMH	0.505244131103278
UGR	CBX2	0.499225980649516
