TF,W,R
ZNF770,5671.33342186254,1
SP2,4985.30352018663,2
SP1,4834.09672923495,3
SP3,4533.42274619935,4
PATZ1,4390.42230201078,5
MAZ,4317.49391900247,6
PAX5,4194.29300376884,7
WT1,4179.55771447203,8
KLF15,4169.28774176794,9
KLF3,4102.71227665629,10
SP4,4100.52334019267,11
ZNF467,4037.40148002926,12
ZNF121,4009.18070835304,13
VEZF1,3905.33545909161,14
MED13,3902.21777811231,15
KLF6,3890.75207296222,16
EGR2,3810.41513827449,17
ZNF341,3718.55865389629,18
ZNF263,3629.63926152124,19
KLF1,3602.01308587585,20
EGR1,3601.36025253089,21
KLF5,3563.76300738673,22
ZNF281,3553.58288707241,23
KLF9,3494.82250047982,24
KLF12,3460.03338919849,25
ZFX,3397.03267385191,26
TAF1,3224.20898345518,27
E2F4,3175.11524084656,28
CTCFL,2977.66426451112,29
NR2F1,2964.90093653442,30
FLI1,2943.19784325527,31
KLF4,2941.04185813563,32
NRF1,2915.16167799452,33
E2F7,2908.65987185572,34
RXRA,2889.12765733104,35
E2F6,2878.97397766323,36
HGNC:9982,2838.71484675588,37
E2F1,2838.6789608272,38
KLF16,2817.53513203813,39
ASCL1,2750.89879958439,40
RARA,2737.1619677349,41
TFDP1,2727.09288479865,42
NR1H4,2716.22037511662,43
SP8,2708.1936161328,44
AP2B1,2637.44391760094,45
ZBTB7A,2568.01027225138,46
SALL4,2533.31981134213,47
OSR2,2509.61031691145,48
NHLH1,2487.42898700255,49
ZNF320,2461.28982297431,50
NFIC,2457.61337797484,51
CTCF,2446.52985097652,52
ELK4,2427.64292991206,53
MBD2,2420.16069535456,54
PTF1A,2389.05006005437,55
RARG,2386.00293565255,56
ZNF322,2372.76331563301,57
TFAP2C,2372.53908451615,58
ERG,2363.16666159855,59
ZNF335,2341.10224976172,60
ESR2,2333.12927829978,61
ZNF563,2307.52802312562,62
ZNF554,2298.46680854937,63
MYOG,2284.89003727737,64
MYOD1,2273.3105067412,65
ETS1,2254.29210283763,66
MXI1,2241.01038651243,67
TCF4,2240.89049647847,68
ZIC3,2230.78875070922,69
ETV5,2215.78810199873,70
NR2C2,2194.46666934154,71
ELF5,2190.77128768364,72
ZIC1,2180.3268546854,73
MZF1,2179.1166635297,74
AP2A1,2177.86697048453,75
THRA,2164.57316671547,76
GABPA,2154.04617868057,77
EGR4,2150.35349453214,78
ZEB1,2124.30260071162,79
