"pathway","pval","padj","log2err","ES","NES","size","leadingEdge"
"Proximal Tubule Cells",5.12274719802255e-05,0.00860621529267789,0.557332238758646,-0.73528249261354,-2.02663474034325,20,"ALDOB;TMEM82;PRAP1;ENPEP;SCIN;DPP4;KHK;NR1H4;FABP1;SLC5A1;GSTA1;TM4SF5;APOA4"
"Enterocytes",0.000118035166739307,0.00991495400610176,0.538434096309916,-0.474264419004914,-1.75519224454743,85,"ALDOB;TMEM82;ABCG5;PRAP1;VDR;MAOA;ACE2;FABP2;DPP4;KHK;CEACAM1;SPINK1;APOA1;ANKS4B;NR1H4;FABP1;SLC5A1;ABCG2;ALPI;GSTA1;LYPD8;REG3A;MTTP;GPX2;TM4SF5;CDC42EP5;RBP2;SLC26A3;ANPEP;APOA4"
"Enteric Glia Cells",0.00019738783400487,0.0108477899507016,0.518848077743792,-0.996318607764391,-1.45601370742817,2,"DHRS3;PPP1R1B"
"Follicular Cells",0.000299617730429396,0.0108477899507016,0.49849310876659,-0.76008385018817,-1.93759950731107,15,"ALDOB;ABCG5;PRLR;FMO5;ANKS4B;NR1H4;GSTA1;SLC3A1"
"Hemangioblasts",0.000348990674448503,0.0108477899507016,0.49849310876659,0.779142821442106,1.89613226458858,14,"R3HDM4;CCND3;NOSIP;SHKBP1;RPS6KB2;RHOG"
"Serotonergic Neurons",0.000387421069667915,0.0108477899507016,0.49849310876659,-0.618235553831468,-1.89047650922553,33,"ALDOB;ABCG5;FABP2;FMO5;SPINK1;ANKS4B;NR1H4;FABP1;SLC5A1;GSTA1;REG3A;SLC3A1;TM4SF5;SLC26A3;GLOD5"
"Noradrenergic Neurons",0.000691277862064496,0.0165906686895479,0.477270815362862,-0.747509129682656,-1.87649015349608,14,"ALDOB;TMEM82;PRAP1;APOA1;NR1H4;FABP1;TM4SF5;APOA4;CREB3L3;MOGAT2;DDC;CDHR2"
"Hepatocytes",0.00343240285346443,0.0720804599227529,0.431707695803346,-0.565752264887197,-1.69431166389694,31,"ALDOB;TMEM82;RHOB;VDR;APOA1;NR1H4;FABP1;GSTA1;ABCD3;MTTP;TM4SF5;APOA4"
"Macrophages",0.00968588685428996,0.159092148661614,0.380730400722792,-0.722911421591827,-1.70752048345416,11,"CD74;MAF;DUSP5;SLC7A7;HPGD"
"Megakaryocytes",0.00893549888271424,0.159092148661614,0.380730400722792,0.874471003847955,1.62007898729411,5,"PLK3;VEGFA;MAFG"
"Neural Stem/Precursor Cells",0.011363724904401,0.159092148661614,0.380730400722792,0.885751726324576,1.58351367567875,4,"CCND2;RBM3;S100A6;MGAT5"
"Trichocytes",0.0108780761003947,0.159092148661614,0.380730400722792,0.573132202423659,1.67629577385079,28,"MST1R;KRT18;KRT19;FAM83H;EPHA2;ITGB4;PKP3;WWC1;KRT8;CLDN4"
"T Memory Cells",0.0131402445110951,0.169812390604921,0.380730400722792,0.992974238875878,1.33323902181811,1,"ARHGEF1"
"Astrocytes",0.0297687614114878,0.312571994820622,0.352487857583619,0.938085676037483,1.39920829728767,2,"SLC25A28;GSTA4"
"Distal Tubule Cells",0.0289088242727766,0.312571994820622,0.352487857583619,-0.510220684693126,-1.49736453156334,28,"VDR;ACE2;SCIN;MYH14;SLC5A1;COBL;SLC3A1;PIGR;MYO5B;BAZ2B;LARP1B;PLEKHA5"
"Epsilon Cells",0.0276272670183783,0.312571994820622,0.352487857583619,-0.540571122624243,-1.50151002756994,21,"ALDOB;TMEM82;ENPEP;SPINK1;APOA1;NR1H4;FABP1;MTTP;TM4SF5;APOA4"
"Airway Goblet Cells",0.0339843658126656,0.335845497442813,0.321775918075361,0.493813330513502,1.51807275676073,36,"TSPAN8;DMBT1;MST1R;LIPH;KRT19;MUC2;TFF3"
"Adrenergic Neurons",0.0368497143027531,0.343930666825696,0.321775918075361,-0.697017111025778,-1.58102528315228,9,"SCAMP5;GADD45G;APOA1"
"Ciliated Cells",0.0653061224489796,0.421135958836335,0.252961123069611,0.915900924433494,1.36611847477947,2,"APPL2;TUBB4B"
"Dendritic Cells",0.0764705882352941,0.421135958836335,0.227987202850442,-0.629059983579354,-1.42687994731529,9,"CD74;DPP4"
"Embryonic Stem Cells",0.0613718411552347,0.421135958836335,0.245041785430996,0.468007686778041,1.42814200871793,34,"NACC1;KLF4;LMNA;SUMO2;EPHA2;LGR4;GJB1;SHROOM3;FNBP1L;ITGA6;CDH1;PTPRF;NCKAP1;EPCAM;SMAD1;CTNNA1;DSP;CTNND1"
"Enterochromaffin Cells",0.0531914893617021,0.421135958836335,0.287857117255149,-0.565705444320439,-1.51311551174682,18,"ALDOB;ANKS4B;NR1H4;FABP1;MTTP;TM4SF5;SLC26A3;APOA4"
"Fibroblasts",0.0593869731800766,0.421135958836335,0.257206466468838,0.585169935595103,1.49560108951347,17,"LRRK1;HIF1A;VEGFA;KLF4;NFKB1;RIPK3;NFAT5;FOSB"
"Foveolar Cells",0.0728597449908925,0.421135958836335,0.224966093540314,0.432705771834818,1.36020532905324,40,"TSPAN8;DMBT1;LGALS2;LIPH;KRT19;MUC2;FOXQ1;TFF3;APOBEC1"
"Goblet Cells",0.0623885918003565,0.421135958836335,0.241339976815091,0.430025667668619,1.40479434262349,47,"TSPAN8;DMBT1;MST1R;KRT19;MUC2;TFF3;ZG16;FCGBP;CLCA1;SPINK4;APOBEC1;GUCA2A;PKP3;KRT8;SLC13A2;CLDN4"
"Langerhans Cells",0.0772277227722772,0.421135958836335,0.227987202850442,-0.835078949193783,-1.33873304062812,3,"CD74"
"Leydig Cells",0.0535372848948375,0.421135958836335,0.271288554688953,-0.770864900011058,-1.43920370066149,5,"PRLR;MAOA"
"Melanocytes",0.0777096114519427,0.421135958836335,0.231126709673834,0.697278345015969,1.41629499677745,7,"SLK;ZC3H7A;DST;PRKCA"
"Mesangial Cells",0.0707456978967495,0.421135958836335,0.234392647294686,-0.720675990915154,-1.43695223404309,6,"SH3BGRL"
"Neurons",0.0740037950664137,0.421135958836335,0.227987202850442,0.534581625779252,1.45686325661658,22,"PTK2B;ATP6V1H;SAFB2;TFF3;PNISR;SFSWAP;TRIP11;RB1CC1;ZCCHC7;ATP6V0A1;SAFB"
"Purkinje Neurons",0.0688935281837161,0.421135958836335,0.248911114434702,0.773025374001458,1.43213686852295,5,"ITPR3;HIVEP2;PRKCA"
"Satellite Glial Cells",0.0817120622568093,0.428988326848249,0.219250346703755,-0.792516035528045,-1.39891530465061,4,"MAF;ALDH2"
"Salivary Mucous Cells",0.095703125,0.472886029411765,0.20207170902116,-0.959518233522917,-1.27297711408906,1,"CST6"
"Sertoli Cells",0.0934182590233546,0.472886029411765,0.213927855492356,-0.501159072310732,-1.36014658612992,19,"CST3;PRLR;SELENBP1;SDC4"
"Glycinergic Neurons",0.103515625,0.496875,0.193813302725311,-0.956507193041151,-1.2689824160323,1,"SCAMP5"
"Peritubular Myoid Cells",0.124282982791587,0.579987253027406,0.173747838999571,-0.675924689732351,-1.3477228396667,6,"APOA1;TMEM98"
"Erythroid-like And Erythroid Precursor Cells",0.128571428571429,0.581717451523546,0.176694268938498,-0.532920499731742,-1.31493552626974,13,"PNPO;SLC25A37;CEACAM1;APOA1"
"Pulmonary Alveolar Type I Cells",0.131578947368421,0.581717451523546,0.166933848713193,0.454502020317396,1.29892160205335,26,"KRT19;CEP170B;VEGFA;EPHA2;DAB2IP;ITGB4;SLCO2A1;PKP3;SHROOM3;CLDN4;PTPRF"
"GABAergic Neurons",0.142857142857143,0.587799807312002,0.166933848713193,0.921043827367012,1.23666004955029,1,"GADD45B"
"Osteoclasts",0.143451143451143,0.587799807312002,0.16823816568964,-0.506730601497751,-1.29175348687966,15,"CST3;VDR;TCN2;SLC7A7;THRA;ANPEP;SLC39A14;CTSZ"
"Tanycytes",0.140625,0.587799807312002,0.16440575583821,-0.938775510204082,-1.24545808303135,1,"PRDX6"
"Gamma Delta T Cells",0.152917505030181,0.611670020120724,0.159646701919906,0.799534236871107,1.31370261747739,3,"TUBA1B;HMGB2;CCL5"
"Loop Of Henle Cells",0.184158415841584,0.719502647939212,0.142901149386948,-0.784238023053124,-1.25722885745317,3,"PPP1R1B;ALDH2"
"Spermatozoa",0.193877551020408,0.74025974025974,0.141225119642531,-0.502078061814809,-1.23883446175044,13,"CD74;DNAJC3;FMO5;ALDH2;SMIM14;PIGR"
"T Regulatory Cells",0.19921875,0.74375,0.135740943810425,-0.844680597145557,-1.23441087846608,2,"MAF"
"Acinar Cells",0.211581291759465,0.749521988527725,0.141225119642531,-0.378945992820383,-1.17864840871369,36,"ALDOB;ACE2;SPINK1;NR1H4;FABP1;SLC5A1;GSTA1;REG3A;GPX2;TM4SF5;PIGR;ANPEP"
"Natural Killer T Cells",0.2109375,0.749521988527725,0.131457611642763,-0.838129896093701,-1.22483772540998,2,"EGR1"
"Plasma Cells",0.21414913957935,0.749521988527725,0.128788713061714,-0.61738699131677,-1.23100481717896,6,"CD74;SSR4;PPIB"
"Enteroendocrine Cells",0.219315895372233,0.7519402127048,0.130777137971974,0.758649265538918,1.24652513916855,3,"VEGFA;SCT;USH1C"
"Delta Cells",0.244258872651357,0.791978449565998,0.12563992130984,0.63193667507195,1.21926111575995,6,"UNC5B;GJB1;UCP2;ATP1B1"
"Luminal Epithelial Cells",0.237924865831843,0.791978449565998,0.116739204791222,0.353694009187784,1.14131228479242,44,"MST1R;KRT18;KRT19;TFF3;HIF1A;AREG;ITGB4;PKP3;KRT8;ST14;CLDN4;CDH1;EPCAM;BTG1;RAB25;DSP;TMC4"
"Myocytes",0.245136186770428,0.791978449565998,0.120433371642259,0.539325351215584,1.22488496571686,11,"MEF2D;DOCK5"
"Airway Epithelial Cells",0.276288659793814,0.806577130663989,0.116234148779716,-0.462855852896487,-1.16191818395184,14,"MYH14;SLC5A1;GSTA1;PIGR"
"Alpha Cells",0.261208576998051,0.806577130663989,0.116234148779716,-0.571614026432166,-1.19053917365401,7,"DPP4;TMEM98;PRRG2"
"Alveolar Macrophages",0.275574112734864,0.806577130663989,0.117249716749792,0.61858991187033,1.19350981814593,6,"TRIM25;GDA"
"B Cells Naive",0.297665369649805,0.806577130663989,0.107554375265169,-0.666707894701565,-1.17684417200212,4,"CD74"
"Mast Cells",0.261224489795918,0.806577130663989,0.119348440591015,-0.482328561120389,-1.19010426634183,13,"ALDH2;COBL;SOCS2;PAPSS2;LPAR1;DDC;PCBD1;MGST2"
"Mesothelial Cells",0.286585365853659,0.806577130663989,0.112843355675562,-0.47759138364258,-1.16689709086615,12,"DUSP5;DPP4;SDC4"
"Monocytes",0.297665369649805,0.806577130663989,0.107554375265169,0.511417796649115,1.16150292009014,11,"PLSCR1;LY6E;NFKBIZ;IRF7;ACE"
"Neutrophils",0.283168316831683,0.806577130663989,0.111918316325105,-0.737751724969243,-1.18270567226037,3,"CEACAM1;ARG2"
"Retinal Progenitor Cells",0.291015625,0.806577130663989,0.109250039480711,-0.87186349949816,-1.15668701510324,1,"HES1"
"Thymocytes",0.281632653061224,0.806577130663989,0.114266502484433,0.799196787148594,1.19204759683302,2,"UCP2;EZR"
"Pulmonary Alveolar Type II Cells",0.307543520309478,0.820116054158607,0.105125131597001,0.449216192201463,1.12716179335606,16,"ABCA3;SLC34A2;KLF4;S100G;DDX3Y;ST14"
"Reticulocytes",0.313092979127135,0.821869070208729,0.102821842840815,0.407263660045847,1.10989123730374,22,"CCT8;DHX15;CHD4;EIF4G1;HNRNPL;EIF3D;UBAP2L;GTF3C2;EIF3B;HDGF;YBX1"
"T Helper Cells",0.319311663479924,0.825297837917341,0.102080107662747,-0.616570095385773,-1.15113551412664,5,"LTBR;DPP4"
"Clara Cells",0.341650671785029,0.8296875,0.0982123351217438,0.448575975373818,1.11065144066393,15,"SLC34A2;TFF3;ITGB4;ST14;CDH1;RAB25;TMC4"
"Myoblasts",0.32776617954071,0.8296875,0.105920292736253,0.629405733296924,1.16606153721488,5,"STK40;TBX3"
"Plasmacytoid Dendritic Cells",0.331967213114754,0.8296875,0.103958471559957,0.648487388216056,1.1593414014629,4,"IRF7;PRKCA;CDH1"
"Taste Receptor Cells",0.345703125,0.8296875,0.0985499803531691,-0.838742054198729,-1.11274533647883,1,"NR3C1"
"Trophoblast Stem Cells",0.339517625231911,0.8296875,0.0965629554309422,0.405312722001209,1.09658475699545,21,"KRT18;KRT19;PKP3;WWC1;KRT8;SHROOM3;CLDN4;PTPRF;TOM1L1;DSP"
"Interneurons",0.351626016260163,0.832016489178976,0.0999276973731092,-0.452326467194485,-1.10516742296594,12,"DHRS3;LPGAT1;ABR"
"Endothelial Cells",0.357815442561205,0.834902699309479,0.0943563635421779,0.408891641894486,1.08272138755084,19,"TSPAN8;S100A13;SGK1;PLEC;SLCO2A1"
"B Cells",0.384321223709369,0.869552772808587,0.0911073131586733,-0.543788070450607,-1.08425629898912,6,"CD74"
"Cholangiocytes",0.388193202146691,0.869552772808587,0.086794975677172,0.321951477963704,1.03888436717051,44,"TSPAN8;LGALS2;KRT19;TFF3;ITGB4;CGN;KRT8;GJB1;SLC13A2;ST14;CLDN4;CDH1;MUC13"
"Neuroblasts",0.381632653061225,0.869552772808587,0.0952879846194844,0.751298139772133,1.12060403197539,2,"ITGA6;MARK2"
"B Cells Memory",0.4,0.880017874432114,0.0925528864684773,0.74330655957162,1.10868413424043,2,"RALGPS2;FRK"
"Decidual Cells",0.43469387755102,0.880017874432114,0.0878312634480124,0.72958500669344,1.08821765540033,2,"AREG;CCL5"
"Dopaminergic Neurons",0.44140625,0.880017874432114,0.0845557442441281,-0.781532285045166,-1.0368460734003,1,"DDC"
"Epiblast Cells",0.411885245901639,0.880017874432114,0.0911073131586733,0.605827193569993,1.08307510739711,4,"CDH1;EPCAM;CXADR;CLDN7"
"Epithelial Cells",0.417233560090703,0.880017874432114,0.096240602328129,-0.300883176707795,-1.03629447295662,53,"TM4SF20;SELENBP1;FMO5;CEACAM1;OVOL1;APOA1;LYPD8;GPX2;MAL2;PIGR;ANPEP;MYO5B;CHMP4C"
"Immature Neurons",0.451020408163265,0.880017874432114,0.0857844408075645,0.712090559374448,1.06212368928351,2,"HIVEP2;KIF1B"
"Kupffer Cells",0.455066921606119,0.880017874432114,0.0817515582532145,-0.562516481623319,-1.05021749209718,5,"VDR"
"Merkel Cells",0.446952595936795,0.880017874432114,0.0919686140000427,-0.301560286105493,-1.01037654458348,48,"TMEM82;ACE2;HNF4G;NR1H4;FABP1;ALPI;GSTA1;REG3A;GPX2;MAL2;TM4SF5;SLC26A3"
"Pancreatic Progenitor Cells",0.455723542116631,0.880017874432114,0.0883594442500905,-0.359050090010609,-0.997310599821971,21,"HNF4G;MYH14;COBL;MAL2;HES1"
"Paneth Cells",0.409799554565702,0.880017874432114,0.096240602328129,-0.327048688501521,-1.01723048555083,36,"TM4SF20;CEACAM1;SPINK1;FABP1;SLC5A1;ALPI;REG3A;GUCY2C;GPX2;PIGR;SLC26A3"
"Sebocytes",0.426991150442478,0.880017874432114,0.0934449219410994,-0.347053210351158,-1.0275988344436,30,"VDR;LTBR;CDA;OVOL1"
"Trigeminal Neurons",0.453465346534653,0.880017874432114,0.0838361057159929,-0.653666727378078,-1.04790720248083,3,"DHCR24;KIF1B"
"Adipocyte Progenitor Cells",0.532786885245902,0.88517745302714,0.0770736734944102,0.54614348235001,0.976374809646323,4,"DAB2IP;TBX3;SH3D19"
"Adipocytes",0.51340206185567,0.88517745302714,0.0793434960134973,0.471153123962271,0.987569756522372,8,"APPL2;TFE3"
"Airway Smooth Muscle Cells",0.76171875,0.88517745302714,0.0571258510018113,-0.561914323962517,-0.821178036537417,2,"GATA6;TPM1"
"Anterior Pituitary Gland Cells",0.618852459016393,0.88517745302714,0.0694481442003175,0.49095400849877,0.877709140701377,4,"CPEB4;NKTR"
"Basal Cells",0.49171270718232,0.88517745302714,0.0756946307932749,0.309559227574976,0.964641098773626,39,"S100A11;MST1R;KRT19;LMNA;EPHA2;ITGB4;PKP3"
"Bergmann Glia",0.638671875,0.88517745302714,0.0655321029282414,-0.685513549682168,-0.909459590923463,1,"KIF1B"
"Beta Cells",0.712890625,0.88517745302714,0.0602484086158019,-0.639009702241552,-0.847763698713428,1,"SLC2A2"
"Cajal-Retzius Cells",0.567849686847599,0.88517745302714,0.0747385227439092,0.485996494285399,0.937683554780821,6,"RALGPS2;SMAD1;PABPN1"
"Chondrocytes",0.588957055214724,0.88517745302714,0.0718276293603809,0.441569499764101,0.896905343060802,7,"ATRX;VEGFA;GADD45B"
"Choroid Plexus Cells",0.652542372881356,0.88517745302714,0.0684714904492087,-0.323361681604651,-0.891271075021012,20,"PRLR;MYH14;COBL;TMEM98"
"Chromaffin Cells",0.714285714285714,0.88517745302714,0.0615706755421678,0.487984731239788,0.80180033468918,3,"DST"
"Crypt Cells",0.548453608247423,0.88517745302714,0.0758886900606117,-0.375606314235412,-0.942893567805557,14,"PPP1R1B;MYH14;SLC5A1;COBL;MYO5B"
"Ductal Cells",0.704099821746881,0.88517745302714,0.0565299525056311,0.265251427907514,0.86651503227111,47,"TSPAN8;KRT18;KRT19;FOXQ1;TFF3;PKP3;KRT8;GJB1;CLDN4;CDH1;MUC13;RNF128;SERINC2;EPCAM"
"Endothelial Cells (Aorta)",0.733333333333333,0.88517745302714,0.0590954798717342,0.338140464971873,0.788263006019912,12,"WBP1L;ITGB4;SLCO2A1;ACE;ATL2;SH3D19"
"Endothelial Cells (Blood Brain Barrier)",0.659919028340081,0.88517745302714,0.0656813601934011,0.388022204059263,0.851675680732907,10,"CEP170B;FOXQ1;DAB2IP;PTPRF"
"Eosinophils",0.772540983606557,0.88517745302714,0.0587185879555941,0.411504713502054,0.735672674487104,4,"PGLYRP1;CCL5"
"Erythroblasts",0.666015625,0.88517745302714,0.0635007968065945,0.350971690153131,0.840390851446099,13,"CCND3;ARPC1B;VASP;RHOG;CDH1"
"Gamma (PP) Cells",0.53265306122449,0.88517745302714,0.0768736734126542,0.663989290495315,0.990377902896449,2,"ATP1B1;ATP9A"
"Gastric Chief Cells",0.686230248306998,0.88517745302714,0.069119845655101,-0.265315732271987,-0.869793560656939,44,"PPP1R1B;ACE2;SELENBP1;MYH14;ALDH2;MAL2;ANPEP"
"Glomus Cells",0.561368209255533,0.88517745302714,0.0734381410838857,0.593070748092219,0.974465580319639,3,"DAB2IP;HMOX2;TNFRSF1A"
"Glutaminergic Neurons",0.5546875,0.88517745302714,0.0725351864394589,-0.723653395784543,-0.960059099642484,1,"GLS"
"Granulosa Cells",0.49390243902439,0.88517745302714,0.0806388495950661,0.456368760874286,0.990472664028569,9,"EPHA2;DAB2IP;PTPRF;NCKAP1"
"Hematopoietic Stem Cells",0.518292682926829,0.88517745302714,0.0780892306943345,-0.389136746987683,-0.950776235839443,12,"EGR1;ABCG2;ANPEP;MGST1"
"Hepatoblasts",0.629294755877034,0.88517745302714,0.0625237414724762,0.29166915913108,0.89664449520586,36,"KRT18;KRT19;CGN;LGR4;RHPN2;PKP3;KRT8;GJB1;CLDN4;CDH1;PTPRF;RNF128;TOM1L1;EPCAM"
"His Bundle Cells",0.573469387755102,0.88517745302714,0.0730744399126987,0.643675140874742,0.960078189951773,2,"NCKAP1;TPM1"
"Intercalated Cells",0.726577437858509,0.88517745302714,0.0583452776743612,-0.403395306261529,-0.804327872500537,6,"SCIN;PIGR"
"Keratinocytes",0.659574468085106,0.88517745302714,0.0635007968065945,0.347097040312155,0.844699943279891,14,"MST1R;PLEC;ITGB4;PKP3;IL13RA1"
"Kidney Progenitor Cells",0.751565762004175,0.88517745302714,0.0609039347452418,0.40601823926908,0.783373193799433,6,"DAB2IP;NCKAP1;LAPTM4B"
"Luteal Cells",0.766949152542373,0.88517745302714,0.060640400949416,-0.289223443753539,-0.817470096058881,23,"PRLR;SNX7;DHCR24;SLC39A14;GNA11"
"Mammary Epithelial Cells",0.571687840290381,0.88517745302714,0.0673623868166279,0.290319337373468,0.931182747793495,43,"MST1R;KRT18;KRT19;FOXQ1;FAM83H;EPHA2;ITGB4;PKP3;KRT8;CLDN4;CDH1;SERINC2;EPCAM"
"Microfold Cells",0.681715575620767,0.88517745302714,0.0694481442003175,-0.262236720849121,-0.878623094891705,48,"VDR;LTBR;ZFP36;TICAM1;CTSH;ZC3H12A;CTSZ;IRF2;NFE2L2;GRN;NFKBIA"
"Microglia",0.497076023391813,0.88517745302714,0.0780892306943345,-0.475031364667574,-0.989379935060402,7,"EGR1;FOS"
"Myofibroblasts",0.76171875,0.88517745302714,0.0571258510018113,-0.561914323962517,-0.821178036537417,2,"MYLK;TPM1"
"Müller Cells",0.564705882352941,0.88517745302714,0.0718276293603809,-0.40825030240732,-0.926023249286729,9,"CROT;PRDX6;HES1"
"NK Cells",0.624513618677043,0.88517745302714,0.066436413766281,-0.505570595571619,-0.892411524840917,4,"DPP4"
"Oligodendrocyte Progenitor Cells",0.681640625,0.88517745302714,0.0623861492893626,-0.660421545667447,-0.876170440450422,1,"LAD1"
"Oligodendrocytes",0.653543307086614,0.88517745302714,0.0647943366000727,-0.370013660385597,-0.863237478913877,10,"PPP1R1B"
"Osteoblasts",0.643968871595331,0.88517745302714,0.0649407684612899,-0.496565341828199,-0.876515837284843,4,"VDR"
"Osteoclast Precursor Cells",0.649269311064718,0.88517745302714,0.0679922591544058,0.467643000708918,0.866373608352839,5,"SAMD9L;NFKB1"
"Osteocytes",0.594646271510516,0.88517745302714,0.0679922591544058,-0.448464445864462,-0.894191003304431,6,"SNX7"
"Oxyphil Cells",0.490234375,0.88517745302714,0.0789209638180035,-0.755102040816326,-1.00178150156869,1,"LDB3"
"Parathyroid Chief Cells",0.582846003898636,0.88517745302714,0.0699458736501659,-0.4359079667126,-0.907894989418712,7,"VDR;SCAMP5;APP"
"Parietal Cells",0.573248407643312,0.88517745302714,0.0751181635276301,-0.34006127904876,-0.922926897522793,19,"PPP1R1B;MYH14;COBL;MAL2;MYO5B"
"Pericytes",0.704918032786885,0.88517745302714,0.0630790410571939,0.451193907963639,0.806627525986386,4,"VEGFA;PDE5A"
"Pinealocytes",0.677734375,0.88517745302714,0.0626618230932491,-0.665439946470391,-0.88282827054503,1,"SLC6A6"
