,stat,pvalue,dof,FDR
NFKB2,-2.63998938407102,0.0131672235001485,29.2190500583768,0.0317442365003581
EBF1,-2.63038460909756,0.0134715660222803,29.21218781889,0.0319821147551846
NFKB1,-2.62620626713186,0.0137403552405562,28.5027029818792,0.0320983604256534
ZNF768,-2.62202479672476,0.0142332664373392,26.8002770799706,0.0329111216506504
FLI1,-2.61870138738028,0.0136731971565627,30.1865673910322,0.0320983604256534
KLF9,-2.56102084035753,0.0156395945333223,30.3624407965227,0.035764072793112
SP1,-2.55756261026518,0.0157200821114728,30.621269583503,0.0358164508180809
ZNF528,-2.54807225339979,0.0160661161508014,30.6727569876237,0.0364712563715273
KLF1,-2.54748590860417,0.0161743653653341,30.2101051604031,0.036583473662683
KLF12,-2.53807789809083,0.0165177614351583,30.3023824418319,0.0371353442618086
ZNF467,-2.53714357949434,0.016614537112144,29.987293962815,0.0371353442618086
SP4,-2.53610124921725,0.0165570328167211,30.5006900478983,0.0371353442618086
ZEB1,-2.53549616142123,0.0166571721045733,30.0983980800638,0.0371353442618086
ZNF281,-2.52846532905587,0.016892571003317,30.3100762922415,0.0373362562540149
ZNF563,-2.52533891682256,0.0170767058776083,30.0013723527854,0.0373362562540149
KLF6,-2.52083373307973,0.0172235362085845,30.1730647903923,0.0373362562540149
KLF3,-2.52025469509341,0.0172429731165053,30.192911910115,0.0373362562540149
KLF15,-2.51966002696341,0.0173069107645726,29.9897148794773,0.0373362562540149
ETV5,-2.5190244211336,0.0173228344770138,30.0390253724189,0.0373362562540149
ZNF263,-2.51693707981144,0.0174356657381034,29.8969971164581,0.0373362562540149
KLF4,-2.51600504064932,0.0174376469897374,30.0776006162016,0.0373362562540149
KLF5,-2.51516916333676,0.0174013183348013,30.437702248405,0.0373362562540149
SP3,-2.51085298578519,0.0175771105954543,30.4406595214625,0.0374367737379755
VEZF1,-2.51033990929365,0.0176987803275481,29.9311520523374,0.0374367737379755
ERG,-2.50984018561663,0.017667529777208,30.1913675993731,0.0374367737379755
SALL4,-2.50336680291075,0.0180054963827067,29.8464042184443,0.0375819421142402
ETV4,-2.49764576294981,0.0182249949193509,29.9510312375472,0.0378359637891694
ZNF816,-2.49194433578645,0.0186987133289024,28.8668711052681,0.0384442225512796
KLF8,-2.48936133468385,0.0196552207261869,25.5264659584829,0.0389348639862683
BCL11A,-2.4890149024917,0.0187495770120202,29.2125052032492,0.0384442225512796
ETS1,-2.48655016405397,0.018849315765869,29.2459145149077,0.0384442225512796
ETV2,-2.48226714236128,0.019022101546353,29.3123642808352,0.0385398930352821
WT1,-2.48206031244456,0.018851266685113,30.1684575752451,0.0384442225512796
SP2,-2.48083755219154,0.0187978541601147,30.7020855634825,0.0384442225512796
PATZ1,-2.47955676108265,0.0189609851629555,30.1685921330121,0.0385398930352821
MAZ,-2.47025688142897,0.0194075483742057,30.0061187422024,0.038752172631534
EGR2,-2.46898091779913,0.0194383888441135,30.1333355555035,0.038752172631534
ASCL1,-2.46832817773377,0.0194208295715631,30.3613921999962,0.038752172631534
