"pathway","pval","padj","log2err","ES","NES","size","leadingEdge"
"Proximal Tubule Cells",5.04707533570752e-05,0.00847908656398863,0.557332238758646,-0.723658074619533,-2.05739349053532,20,"ALDOB;TMEM82;PRAP1;SCIN;ENPEP;KHK;DPP4;FABP1;GSTA1;NR1H4;TM4SF5;SLC5A1"
"Enteric Glia Cells",0.000222081305243209,0.0124365530936197,0.518848077743792,-0.995983935742972,-1.46106817902256,2,"DHRS3;PPP1R1B"
"Noradrenergic Neurons",0.000198784745405224,0.0124365530936197,0.518848077743792,-0.758872086823692,-1.95790406468409,14,"ALDOB;TMEM82;PRAP1;APOA1;FABP1;NR1H4;TM4SF5"
"Hemangioblasts",0.000349995566651518,0.0146998137993637,0.49849310876659,0.769771557409546,1.90870821396524,14,"R3HDM4;CCND3;NOSIP;SHKBP1;RPS6KB2;RHOG"
"Enterocytes",0.000979833004302523,0.0329223889445648,0.45505986738723,-0.437046726022417,-1.67192878981193,85,"ALDOB;ABCG5;TMEM82;PRAP1;MAOA;VDR;FABP2;CEACAM1;ACE2;KHK;SPINK1;DPP4;APOA1;LYPD8;ANKS4B;FABP1;GSTA1;ALPI;NR1H4;TM4SF5;GPX2;CDC42EP5;SLC5A1;ABCG2;REG3A;RBP2;KLF5;APOA4;MTTP;PHGR1;PRR15L;FUOM"
"Follicular Cells",0.00193162358150443,0.0495812259216653,0.45505986738723,-0.70330961901618,-1.84364688863815,15,"ALDOB;ABCG5;PRLR;FMO5;ANKS4B;GSTA1;NR1H4"
"Serotonergic Neurons",0.00206588441340272,0.0495812259216653,0.431707695803346,-0.567151543756204,-1.78593701357646,33,"ALDOB;ABCG5;FABP2;FMO5;SPINK1;ANKS4B;FABP1;GSTA1;NR1H4;TM4SF5;SLC5A1;REG3A;GLOD5;SLC3A1;PHGR1"
"Embryonic Stem Cells",0.00532380722128282,0.111799951646939,0.407017918923954,0.547191516314387,1.70460398957714,34,"NACC1;LMNA;EPHA2;KLF4;SUMO2;ITGA6;FNBP1L;GJB1;LGR4;NCKAP1;SHROOM3;PTPRF;CDH1;CTNND1;CTNNA1;SH3D19;PUM2;EPCAM;DSP;CTNNB1"
"Macrophages",0.00874359514903505,0.163213776115321,0.380730400722792,-0.727181101063043,-1.75828788019968,11,"CD74;DUSP5;MAF;SLC7A7;HPGD"
"Hepatocytes",0.0100522505547482,0.16887780931977,0.380730400722792,-0.515004920355275,-1.58613895316982,31,"ALDOB;RHOB;TMEM82;VDR;APOA1;FABP1;GSTA1;NR1H4;TM4SF5;ABCD3"
