"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"PRAMEF4",1.11794554818255e-207,1.27419027868311,0.5,0.002,4.09190429545778e-203
"AP005482.1",1.27804604077494e-142,1.06406812988841,0.577,0.008,4.67790411844443e-138
"AL513321.2",5.06834155573122e-125,1.82170101076554,0.5,0.006,1.85511437622874e-120
"TRIM51",5.69230061551039e-124,1.0698931513507,0.577,0.01,2.08349587128911e-119
"PRAMEF14",2.79246428421605e-121,1.14550029886876,0.577,0.01,1.02209777730876e-116
"LEUTX",4.14889562320985e-121,1.01991341194301,0.577,0.01,1.51857877600727e-116
"TRIM43B",6.61995045974685e-115,1.25594559618487,0.923,0.034,2.42303426727654e-110
"TRIM43",1.233167051744e-113,1.27085020333833,0.923,0.035,4.51363804279338e-109
"MBD3L2B",8.00124464121885e-108,1.65170348981031,0.769,0.024,2.92861556357892e-103
"TRIM48",3.98354776462761e-107,1.70976432075899,0.846,0.03,1.458058152809e-102
"TPRX1",1.24737947178277e-92,1.17135200954843,0.423,0.007,4.56565834261928e-88
"MBD3L5",9.84847135471077e-91,1.65289390825558,0.654,0.021,3.60473748525124e-86
"MBD3L3",1.32490325903255e-87,1.33643884942834,0.577,0.016,4.84941090871093e-83
"TRIM49",6.10293105845991e-83,1.43691631805749,0.923,0.052,2.2337948260175e-78
"SLC34A2",2.3377940936931e-82,2.71478035635395,0.962,0.058,8.55679394173547e-78
"TRIM49C",1.12598103214063e-77,1.3277648104981,0.923,0.055,4.12131577384113e-73
"TRIM49B",2.2145237094788e-73,1.7302854655475,0.731,0.034,8.10559968143431e-69
"AL449363.2",9.73857296999412e-65,1.24963857011162,0.538,0.02,3.56451247847725e-60
"MBD3L2",1.4109546518548e-64,2.96613994682545,0.808,0.052,5.16437621671895e-60
"PTP4A1",1.19662019435593e-63,2.54362620740183,0.846,0.059,4.37986923538158e-59
"H3.Y",9.19034301199548e-53,1.80136754226573,0.615,0.035,3.36384934925059e-48
"ZSCAN4",3.63844193338607e-40,2.49239009901962,0.692,0.062,1.33174251645797e-35
"AC243829.2",8.86289339764811e-34,2.18946772661739,0.462,0.031,3.24399624140716e-29
"CCNA1",1.77326595113638e-32,3.05008860122605,0.731,0.094,6.49050803434938e-28
"GABRA2",3.17405068157974e-32,1.04485389177025,0.308,0.014,1.16176603047182e-27
"DGKH",2.07497299003111e-26,1.17827287405167,0.654,0.084,7.59481613811185e-22
"AL592295.3",5.15352888140764e-23,1.47183417038548,0.885,0.205,1.88629464117282e-18
"LINC02223",4.97572548881454e-19,1.11988201620878,0.231,0.014,1.8212150434159e-14
"PNP",1.30469546504439e-16,2.01495560466203,0.962,0.531,4.77544634115548e-12
"ZNHIT6",1.77134313952554e-15,2.77315642989101,0.962,0.84,6.48347015929136e-11
"TFIP11",3.39900250260419e-15,1.76879097993105,0.923,0.444,1.24410289600318e-10
"ZNF280A",8.82929323656333e-15,1.00066833808818,0.654,0.15,3.23169791044691e-10
"SRSF8",1.55995739756862e-14,1.25002757837619,0.923,0.413,5.70975606658067e-10
"DPPA3",1.97582717879448e-14,1.76413995084384,1,0.98,7.23192263982355e-10
"RBM25",2.0273928279081e-13,1.32011528404787,1,0.997,7.42066322870923e-09
"EXOSC10",4.12188387635816e-13,1.60509298338354,0.962,0.83,1.50869193642461e-08
"ODC1",4.28358538780893e-13,1.96699761322418,1,0.612,1.56787792364583e-08
"RBBP6",1.12646966485154e-12,2.16708554212962,1,0.973,4.12310426728962e-08
"TMEM254-AS1",3.73407534710307e-12,1.0612475356067,0.885,0.454,1.36674625854666e-07
"KLF17",4.25150572488454e-12,1.48789445468475,0.923,0.562,1.55613612542224e-07
"BNC2",5.77942264241717e-12,-1.46412906771905,0.615,0.981,2.11538427557753e-07
"ALPG",7.22046629779413e-12,1.58125325874592,1,0.987,2.64283507431861e-07
"ZNF217",7.34695939434149e-12,1.66625028488804,0.962,0.959,2.68913407751687e-07
"KHDC1L",1.06455976393314e-11,1.47499863425761,1,0.999,3.89650164794808e-07
"KAZN",1.08150223611846e-11,-1.253523994839,0.692,0.979,3.9585144846408e-07
"KIF21A",1.52902546956931e-11,-1.00989498120455,0.423,0.957,5.59653902371759e-07
"UNC80",1.75474001358239e-11,1.18950645936411,0.385,0.065,6.42269939771427e-07
"ATP9B",2.15157978003424e-11,1.14918756525221,1,0.984,7.87521231088131e-07
"RIMS2",8.3732971502291e-11,-1.26756530974762,0.231,0.819,3.06479422292685e-06
"SLC39A10",1.74467597997496e-10,-1.02237916295745,0.962,0.998,6.38586302190434e-06
"SMARCA2",1.79988091992409e-10,-1.12875092055936,0.692,0.995,6.58792414310617e-06
"OSBPL10",2.83753394574103e-10,-1.08608267695711,0.692,0.976,1.03859417482013e-05
"RCOR1",3.45059346479079e-10,1.19656581063613,1,0.981,1.26298621998272e-05
"ATP8B1",4.26336130774004e-10,1.13081751478842,0.962,0.789,1.56047550585901e-05
"PNN",5.5718764805072e-10,1.00774783234762,1,0.994,2.03941822939524e-05
"LRFN5",7.57219448808531e-10,-1.43686416250279,0.385,0.857,2.77157462652899e-05
"SRGAP1",1.15646335629398e-09,-1.01911844001442,0.423,0.918,4.23288717670724e-05
"DPP10",1.43915692030507e-09,-1.2574988022259,0.462,0.836,5.26760215970063e-05
"KMT2C",1.58787315664078e-09,1.16929882616414,1,0.998,5.81193332793657e-05
"PTPRK",2.1067765127255e-09,-1.08310781817292,0.577,0.929,7.71122339187787e-05
"BASP1",2.86608395222627e-09,1.01757743955769,0.962,0.907,0.000104904404819386
"FOXP1",3.80623502831097e-09,-1.10836979598205,0.577,0.988,0.000139315814506238
"SUSD2",4.34351593305289e-09,1.15558355213774,0.962,0.894,0.000158981370181602
"RSRP1",5.49712724556294e-09,1.16002436163939,0.962,0.758,0.000201205851442095
"AC021851.1",5.70795045984318e-09,2.13168922344042,0.846,0.602,0.00020892240273118
"CEP85L",6.11665274228613e-09,1.18111081340095,1,0.889,0.000223881723673157
"PABPN1",8.59399943565862e-09,1.04315217813309,0.962,0.701,0.000314557567343977
"GTF2F1",9.41440401156332e-09,1.12754620870003,0.885,0.669,0.000344586015631241
"WDR47",1.4192794105284e-08,1.93721846357497,0.923,0.782,0.000519484649841603
"KLF3",1.98943420448207e-08,1.45059317139124,0.923,0.715,0.000728172707524527
"CXADR",2.03493135770088e-08,1.01794444630407,1,0.996,0.000744825575545677
"TC2N",2.40021309218759e-08,2.46755993720483,0.846,0.631,0.000878525996002503
"RYBP",2.56071661038904e-08,1.10041695871301,1,0.95,0.000937273493734596
"MIR924HG",2.93667819092323e-08,-1.13084938000757,0.692,0.933,0.00107488295144172
"RESF1",4.46839894906097e-08,1.04559869618137,0.962,0.982,0.0016355233833353
"HIPK3",4.71812213937906e-08,1.48732561760906,0.962,0.918,0.00172692706545553
"NRG1",7.36775351580169e-08,-1.02005637496534,0.423,0.858,0.00269674514185374
"FAM155A",8.65847758096568e-08,-1.22568115285217,0.846,0.991,0.00316917596418506
"USP7",1.24425155299314e-07,1.53042704390539,0.962,0.95,0.00455420953426551
"AC083870.1",1.74643531319982e-07,2.37045959179859,0.885,0.527,0.006392302533374
"WDR45B",2.29006200129833e-07,1.6382293749303,0.962,0.797,0.00838208493715216
"TRIM60",2.79533626730847e-07,1.49112922461097,0.962,0.927,0.0102314898056025
"YPEL2",4.53627298935223e-07,1.1208592124305,1,0.945,0.016603666395627
"TFB1M",4.59660917484759e-07,1.39673041012938,1,0.921,0.0168245089017771
"ADD3",4.70872871131784e-07,1.61752420621299,0.923,0.805,0.0172348888291656
"EPS15",7.23061571960186e-07,1.10384547995001,1,0.978,0.0264654996568867
"SLC2A3",8.05771756894158e-07,2.31554796540171,0.962,0.915,0.02949285784584
"DAB2",9.25991209606884e-07,1.49067272878707,0.808,0.557,0.0338931302540312
"TFRC",1.21665664434847e-06,1.36398476966521,1,0.951,0.0445320664964426
"GAL",1.3475566335721e-06,1.07469178291144,0.923,0.9,0.0493232679020061
